Fase,Banco,Tipo de tronadura,Tipo Material,M,Dominio Estructural,Diámetro,BxS,Tiempo entre Pozos Filas ms,Fc,Tipo Explosivo,P10,P20,P30,P40,P50,P60,P70,P80,P90,P100,Este,Norte,Cota,
Stage 4,2930,Tronadura 2,Roca 1,L4,Norte,12 1/4,7x7,5-87,539,L,0.5,0.8,1.1,1.7,2.5,3.6,5.0,5.9,8.0,12.2,59183.0,90652.0,2930.0,
Stage 2,3530,Tronadura 2,Roca 2,L8,Norte,12 1/4,10.5x10.5,9-94,127,K,0.6,0.8,1.1,1.5,2.0,2.8,3.8,5.2,6.7,12.1,59266.0,91726.0,3530.0,
Stage 4,2930,Tronadura 2,Roca 1,L4,Norte,12 1/4,7x7,5-87,539,L,0.4,0.7,1.1,1.7,2.6,3.6,4.8,6.1,8.2,16.6,59197.0,90601.0,2930.0,
Stage 4,2945,Tronadura 1,Roca 1,L4,Noreste,10 5/8,6.5x6.5,11-105,459,J,0.1,0.2,0.5,0.8,1.3,2.7,4.6,6.6,9.9,20.4,59350.0,90202.0,2945.0,
Stage 4,2930,Tronadura 1,Roca 1,L4,Norte,10 5/8,6.5x6.5,11-105,450,J,0.6,0.9,1.3,1.7,2.2,3.2,4.3,5.9,8.9,14.6,59215.0,90688.0,2930.0,
Stage 4,2930,Tronadura 1,Roca 1,L4,Norte,10 5/8,6.5x6.5,11-105,452,J,0.4,0.8,1.1,1.7,2.6,3.6,4.9,6.5,8.9,13.3,59211.0,90653.0,2930.0,
Stage 2,3530,Tronadura 2,Roca 2,L7,Norte,12 1/4,10.5x10.5,9-94,324,K,0.7,1.0,1.3,1.7,2.1,2.8,3.7,5.1,7.0,12.5,58935.0,91507.0,3530.0,
Stage 2,3530,Tronadura 2,Roca 2,L1,Norte,12 1/4,10.5x10.5,9-94,324,K,0.5,0.6,0.9,1.3,2.0,3.0,4.3,5.4,7.2,11.1,58964.0,91507.0,3530.0,
Stage 4,2930,Tronadura 1,Roca 1,L4,Norte,10 5/8,6.5x6.5,11-105,452,J,0.2,0.5,0.9,1.5,2.4,3.3,4.6,5.9,7.8,11.0,59223.0,90635.0,2930.0,
Stage 2,3530,Tronadura 2,Roca 2,L1,Norte,12 1/4,10.5x10.5,5-87,385,K,0.8,1.1,1.4,1.7,2.0,2.7,3.5,5.0,7.2,11.2,59274.0,91543.0,3530.0,
Stage 4,2930,Tronadura 1,Roca 1,L4,Noreste,10 5/8,6.5x6.5,4-24,500,B,0.1,0.4,0.7,1.2,2.4,3.7,5.1,6.5,8.1,15.7,59230.0,90495.0,2941.0,
Stage 4,2930,Tronadura 1,Roca 1,L4,Norte,10 5/8,6.5x6.5,11-105,434,J,0.2,0.5,0.7,1.2,2.1,3.4,4.8,6.1,7.4,13.5,59193.0,90834.0,2930.0,
Stage 4,2930,Tronadura 1,Roca 1,L4,Norte,10 5/8,6.5x6.5,11-105,452,J,0.2,0.5,0.8,0.9,1.9,3.2,4.5,6.1,8.7,12.4,59222.0,90615.0,2930.0,
Stage 4,2930,Tronadura 1,Roca 1,L4,Noreste,10 5/8,6.5x6.5,4-24,500,B,0.5,0.9,1.2,1.6,2.2,3.1,4.4,6.0,8.1,14.8,59218.0,90532.0,2936.0,
Stage 4,2930,Tronadura 1,Roca 1,L4,Norte,10 5/8,6.5x6.5,11-105,434,J,0.7,1.1,1.5,1.8,2.4,3.4,4.7,6.3,9.1,15.4,59150.0,90832.0,2930.0,
Stage 4,2930,Tronadura 2,Roca 1,L4,Norte,12 1/4,7x7,5-87,539,L,0.5,1.1,2.6,3.5,4.1,4.6,5.2,5.9,6.7,11.9,59201.7,90586.7,2930.0,
Stage 4,2930,Tronadura 1,Roca 1,L4,Norte,10 5/8,6.5x6.5,11-105,452,J,0.5,1.0,2.2,3.5,4.4,5.0,5.6,6.3,8.5,11.6,59220.1,90566.7,2930.0,
Stage 4,2930,Tronadura 2,Roca 1,L4,Norte,12 1/4,7X7,5-87,536,B,0.2,0.7,1.1,2.0,3.3,4.3,5.2,6.1,7.6,11.9,59269.1,89828.1,2930.0,
Stage 4,2930,Tronadura 1,Roca 1,L4,Norte,10 5/8,6.5x6.5,11-105,452,J,0.5,1.1,2.8,3.9,4.6,5.1,5.7,6.3,7.0,10.0,59244.0,90602.4,2930.0,
Stage 4,2930,Tronadura 1,Roca 1,L4,Norte,11 5/8,6.5x6.5,11-106,453,J,0.4,0.7,1.7,2.9,3.9,5.0,5.5,6.2,7.4,9.6,59221.0,90602.8,2930.0,
Stage 2,3530,Tronadura 2,Roca 2,L1,Norte,12 1/4,10.5x10.5,5-87,208,K,0.5,0.9,1.4,2.0,2.6,3.0,3.4,3.8,4.4,7.0,59420.0,91813.0,3530.0,
Stage 4,2930,Tronadura 2,Roca 1,L4,Norte,12 1/4,7x7,5-87,539,L,0.4,0.5,1.2,2.3,3.1,4.0,4.8,5.6,6.6,10.9,59178.4,90566.0,2930.0,
Stage 4,2930,Tronadura 1,Roca 1,L4,Norte,10 5/8,6.5x6.5,11-105,467,E,0.5,1.1,2.2,3.0,4.0,4.8,5.5,6.5,7.9,9.4,58851.4,90740.0,2930.0,
Stage 4,2930,Tronadura 2,Roca 1,L4,Norte,12 1/4,7x7,5-87,536,B,0.6,1.1,1.8,2.5,3.2,4.1,4.9,5.8,7.2,10.5,59259.0,89861.8,2930.0,
Stage 4,3530,Tronadura 2,Roca 2,L1,Norte,12 1/4,10.5x10.5,5-87,208,K,0.7,1.1,1.5,2.1,2.6,3.0,3.4,3.9,4.4,6.5,59443.9,91835.7,3530.0,
Stage 4,2930,Tronadura 2,Roca 1,L4,Norte,12 1/4,7x7,5-87,536,B,0.7,1.3,2.0,2.8,3.5,4.3,4.9,5.9,6.9,11.2,59285.2,90734.0,2930.0,
Stage 4,2930,Tronadura 1,Roca 1,L4,Norte,10 5/8,6.5x6.5,11-105,467,E,0.7,1.2,2.0,3.1,4.0,4.8,5.6,6.3,7.5,11.8,58819.9,90734.0,2930.0,
Stage 4,2930,Tronadura 1,Roca 1,L4,Norte,10 5/8,6.5x6.5,11-105,467,E,0.7,1.0,1.5,2.5,3.7,4.6,5.6,6.3,7.5,10.9,58805.1,90752.9,2930.0,
Stage 4,2930,Tronadura 2,Roca 1,L4,Sureste,12 1/4,7X7,5-87,536,B,0.6,1.0,1.7,2.4,3.2,4.0,5.0,5.8,6.7,8.7,59239.3,89877.2,2930.0,
Stage 4,2930,Tronadura 1,Roca 1,L4,Norte,10 5/8,6.5x6.5,4-24,500,B,0.6,1.0,1.5,2.4,3.3,4.1,4.9,5.8,8.0,10.5,59164.0,90535.9,2930.0,
Stage 4,2930,Tronadura 2,Roca 1,L4,Sureste,12 1/4,7x7,5-87,536,B,0.8,1.3,2.0,2.9,3.7,4.4,5.1,5.8,6.6,10.1,59323.9,89825.8,2930.0,
Stage 4,2930,Tronadura 1,Roca 1,L4,Noreste,10 5/8,6.5x6.5,4-24,500,B,0.2,0.6,0.9,1.5,2.5,3.6,4.7,6.1,8.0,11.5,59152.0,90505.0,2930.0,
Stage 4,2930,Tronadura 2,Roca 1,L4,Noreste,12 1/4,7x7,5-87,545,K,0.2,0.5,0.9,1.5,2.3,3.3,4.7,6.5,9.1,12.9,59088.0,90420.0,2930.0,
Stage 4,2930,Tronadura 1,Roca 1,L4,Noreste,10 5/8,6.5x6.5,4-24,500,B,0.2,0.5,0.8,1.2,1.7,2.8,4.1,5.9,10.4,16.9,59158.0,90486.0,2930.0,
Stage 4,2930,Tronadura 1,Roca 1,L4,Noreste,10 5/8,6.5x6.5,4-24,500,B,0.2,0.6,0.8,1.2,1.9,3.1,4.3,6.1,7.8,19.1,59236.0,90511.0,2930.0,
Stage 2,3530,Tronadura 2,Roca 2,L8,Norte,10 5/8,8.5x10,9-94,104,K,0.1,0.4,0.6,1.0,1.6,2.4,3.5,5.1,8.2,17.4,59327.0,91792.0,3530.0,
Stage 2,3530,Tronadura 2,Roca 2,L8,Norte,10 5/8,8.5x10,9-94,104,K,0.1,0.4,0.6,0.9,1.6,2.5,3.7,4.9,7.3,10.0,59273.0,91763.0,3530.0,
Stage 4,2930,Tronadura 2,Roca 1,L4,Noreste,12 1/4,7x7,5-87,545,K,0.3,0.7,1.0,1.4,1.9,2.9,4.3,6.0,8.7,14.3,59115.0,90367.0,3530.0,
Stage 4,2915,Tronadura 2,Roca 1,L4,Norte,12 1/4,7x7,3-11,525,B,0.7,1.1,1.5,1.9,2.7,3.7,4.7,5.9,7.5,13.0,59019.0,90707.0,2917.0,
Stage 4,2930,Tronadura 2,Roca 1,L4,Sureste,12 1/4,7x7,5-87,453,B,0.6,0.9,1.6,2.3,3.0,3.7,4.5,5.8,8.5,14.1,59343.0,89694.0,2930.0,
Stage 2,3515,Tronadura 2,Roca 2,L1,Norte,10 5/8,11.5x12.5,9-94,184,E,0.4,0.6,0.9,1.3,1.8,2.6,3.9,5.1,6.7,12.9,59428.0,91665.0,3525.0,
Stage 2,3530,Tronadura 2,Roca 2,L8,Norte,10 5/8,8.5x10,9-94,104,K,0.5,0.8,1.1,1.3,1.7,2.3,3.5,5.0,7.1,13.2,59221.0,91746.0,3530.0,
Stage 4,2915,Tronadura 2,Roca 1,L4,Norte,12 1/4,7x7,3-11,525,B,0.4,0.6,0.9,1.4,2.2,3.4,4.8,6.2,9.2,16.6,59054.0,90734.0,2915.0,
Stage 4,2930,Tronadura 1,Roca 1,L4,Sureste,10 5/8,6.5x6.5,5-87,484,B,0.6,0.8,1.2,1.5,1.9,2.9,4.0,5.9,8.2,12.5,59332.0,89624.0,2930.0,
Stage 4,2915,Tronadura 2,Roca 1,L4,Norte,12 1/4,7x7,3-11,525,B,0.4,0.7,1.1,1.6,2.4,3.4,4.7,6.1,8.1,10.8,59081.0,90712.0,2915.0,
Stage 4,2930,Tronadura 1,Roca 1,L4,Sureste,10 5/8,6.5x6.5,5-87,484,B,0.4,0.8,1.3,1.5,2.0,2.9,4.1,6.0,8.4,13.6,59349.0,89613.0,2930.0,
Stage 2,3515,Tronadura 2,Roca 2,L1,Norte,10 5/8,11.5x12.5,9-94,184,E,0.4,0.7,1.1,1.6,2.2,3.1,3.9,5.1,6.6,11.9,59475.0,91634.0,3516.0,
Stage 4,2915,Tronadura 2,Roca 1,L4,Norte,12 1/4,7x7,3-11,525,B,0.3,0.6,0.9,1.4,2.1,3.3,4.6,6.1,8.5,15.5,58993.0,90714.0,2915.0,
Stage 4,2930,Tronadura 2,Roca 1,L4,Noreste,10 5/8,6.5x6.5,4-24,500,B,0.6,1.5,2.2,2.9,3.5,4.1,5.2,5.8,7.8,13.2,59203.0,90481.0,2930.0,
,,,,,,,,,,,,,,,,,,,,,,,,
Stage 4,2930,Tronadura 1,Roca 1,L4,Sureste,10 5/8,6.5x6.5,5-87,484,B,0.9,1.5,2.2,2.9,3.6,4.2,5.0,6.1,7.3,10.8,59332.0,89576.0,2930.0,
Stage 4,2930,Tronadura 2,Roca 1,L4,Noreste,12 1/4,7x7,5-87,545,K,0.8,1.3,1.8,2.5,3.3,4.0,4.7,5.9,7.2,11.8,59117.0,90327.0,2930.0,
Stage 4,2930,Tronadura 2,Roca 1,L4,Noreste,12 1/4,7x7,5-87,545,K,0.9,1.7,2.2,2.8,3.5,3.9,4.6,5.3,6.3,7.7,59127.0,90366.0,2930.0,
Stage 4,2930,Tronadura 1,Roca 2,L1,Sureste,10 5/8,6.5x6.5,5-87,484,B,0.7,1.2,1.9,2.5,3.1,3.7,4.4,5.1,6.5,8.7,59314.0,89547.0,2930.0,
Stage 2,3530,Tronadura 2,Roca 2,L8,Norte,12 1/4,11.5x12.5,9-94,119,K,0.7,1.0,1.5,1.9,2.2,2.7,3.3,3.8,4.6,6.0,59207.0,91677.0,3530.0,
Stage 4,2930,Tronadura 2,Roca 1,L4,Noreste,12 1/4,7x7,5-87,545,K,1.0,1.4,1.8,2.3,2.9,3.7,4.4,5.9,8.0,15.0,59117.0,90386.0,2930.0,
Stage 4,2930,Tronadura 1,Roca 2,L1,Sureste,10 5/8,6.5x6.5,5-87,484,B,0.7,1.3,2.1,2.7,3.2,3.9,4.4,5.3,6.3,8.8,59299.0,89520.0,2930.0,
Stage 2,3530,Tronadura 2,Roca 2,L8,Norte,12 1/4,11.5x12.5,9-94,185,K,0.6,0.9,1.2,1.6,1.9,2.3,2.8,3.5,4.3,6.7,59189.0,91705.0,3530.0,
Stage 4,2930,Tronadura 2,Roca 1,L4,Noreste,12 1/4,7x7,5-87,545,K,0.8,1.2,1.6,2.1,2.8,3.7,4.5,5.7,7.0,12.1,59142.0,90313.0,2930.0,
Stage 4,2930,Tronadura 1,Roca 1,L4,Noreste,10 5/8,6.5x6.5,4-30,496,B,0.3,0.5,1.0,1.9,2.9,3.7,4.6,5.8,7.7,11.8,59244.7,90439.0,2937.0,
Stage 4,2930,Tronadura 1,Roca 1,L4,Noreste,10 5/8,6.5x6.5,4-30,496,B,0.4,0.8,1.3,1.9,2.7,3.8,5.0,6.1,9.3,12.0,59240.7,90450.0,2935.0,
Stage 4,2930,Tronadura 2,Roca 1,L4,Noreste,12 1/4,7x7,5-87,545,K,0.7,1.2,1.6,2.2,3.0,3.8,4.6,5.8,7.1,12.4,59161.0,90356.0,2930.0,
Stage 4,2930,Tronadura 1,Roca 1,L4,Noreste,10 5/8,6.5x6.5,4-30,496,B,0.6,1.5,2.4,3.2,3.9,4.6,5.4,6.1,7.8,9.3,59237.0,90465.0,2935.0,
Stage 4,2930,Tronadura 1,Roca 1,L4,Sureste,10 5/8,6.5x6.5,5-87,484,B,0.8,1.8,2.6,3.3,3.9,4.8,5.5,6.2,8.7,10.0,59337.0,89541.0,2930.0,
Stage 4,2930,Tronadura 2,Roca 1,L4,Noreste,12 1/4,7x7,5-87,545,K,1.1,1.6,2.2,2.9,3.5,4.1,4.9,5.6,7.3,10.2,59145.0,90415.0,2930.0,
Stage 4,2930,Tronadura 1,Roca 1,L4,Noreste,10 5/8,6.5x6.5,4-30,496,B,0.9,1.4,2.0,2.7,3.6,4.3,5.2,6.1,7.4,9.6,59199.0,90473.0,2930.0,
Stage 4,2930,Tronadura 1,Roca 1,L4,Sureste,10 5/8,6x6,5-87,486,C,0.7,1.1,1.9,2.7,3.6,4.3,5.1,6.5,8.6,11.6,59382.0,89677.0,2930.0,
Stage 4,2930,Tronadura 1,Roca 1,L4,Sureste,10 5/8,6x6,5-87,486,C,0.5,0.9,1.2,1.7,2.3,3.2,4.5,6.1,8.2,24.8,59376.0,89646.0,2930.0,
Stage 4,2915,Tronadura 2,Roca 1,L4,Norte,12 1/4,7x7,3-11,525,B,0.5,0.8,1.2,1.8,2.5,3.3,4.3,5.9,7.5,15.2,59090.0,90745.0,2915.0,
Stage 4,2915,Tronadura 1,Roca 1,L4,Norte,10 5/8,6.5x6.5,11-105,439,J,0.2,0.6,0.9,1.4,2.0,3.2,4.5,6.2,9.2,18.3,59041.0,90751.0,2915.0,
Stage 4,2930,Tronadura 1,Roca 1,L4,Sureste,10 5/8,6.5x6.5,5-87,484,B,0.5,0.9,1.3,1.8,2.4,3.4,4.5,6.1,8.5,15.4,59360.0,89603.0,2930.0,
Stage 2,3530,Tronadura 2,Roca 2,L8,Norte,10 5/8,8.5x10,5-87,185,J,0.6,0.9,1.1,1.4,1.9,2.5,3.6,4.7,6.2,11.6,59357.0,91836.0,3530.0,
Stage 4,2915,Tronadura 2,Roca 1,L4,Norte,12 1/4,7x7,3-11,525,B,0.7,1.0,1.4,1.8,2.4,3.3,4.4,5.7,7.1,10.9,59096.0,90707.0,2915.0,
Stage 4,2915,Tronadura 1,Roca 1,L4,Norte,10 5/8,6.5x6.5,11-105,439,J,0.7,1.1,1.5,1.9,2.5,3.4,4.4,6.0,8.2,17.2,58998.0,90755.0,2915.0,
Stage 2,3530,Tronadura 2,Roca 2,L8,Norte,10 5/8,8.5x10,5-87,185,J,0.5,0.7,1.0,1.4,2.1,2.8,3.7,4.7,7.0,11.5,59274.0,91791.0,3530.0,
Stage 4,2915,Tronadura 1,Roca 1,L4,Norte,10 5/8,6.5x6.5,11-105,439,J,0.6,1.0,1.4,2.0,2.8,3.7,4.8,6.1,8.2,17.0,59047.0,90767.0,2915.0,
Stage 4,2915,Tronadura 1,Roca 1,L4,Norte,10 5/8,6.5x6.5,11-105,439,J,0.5,0.7,1.0,1.5,2.2,3.1,4.4,6.0,7.6,14.5,59077.0,90775.0,2915.0,
Stage 4,2915,Tronadura 1,Roca 1,L4,Norte,10 5/8,6.5x6.5,11-105,474,J,0.51,0.79,1.18,1.69,2.36,3.46,4.72,6.1,9.02,17.48,58908.0,90729.0,2915.0,
Stage 4,2915,Tronadura 1,Roca 1,L4,Norte,10 5/8,6.5x6.5,11-105,474,J,1.10,1.89,2.64,3.39,3.90,4.65,5.24,6.2,7.28,8.94,58889.0,90713.0,2915.0,
Stage 4,2930,Tronadura 2,Roca 1,L4,Noreste,12 1/4,7x7,5-87,545,K,0.83,1.38,2.09,2.91,3.46,4.02,4.69,5.5,6.61,11.61,59112.0,90478.0,2930.0,
Stage 4,2930,Tronadura 1,Roca 1,L4,Sureste,10 5/8,6x6,5-87,486,C,0.87,1.34,1.73,2.36,3.23,4.37,5.31,6.5,8.23,11.42,59370.0,89695.0,2930.0,
Stage 4,2930,Tronadura 1,Roca 1,L4,Sureste,10 5/8,6x6,5-87,486,C,0.75,1.38,2.24,2.91,3.74,4.41,5.12,6.2,7.91,10.51,59376.0,89741.0,2930.0,
Stage 4,2930,Tronadura 2,Roca 1,L4,Noreste,10 5/8,6.5x6.5,4-24,500,B,0.71,1.14,1.61,2.28,2.95,3.70,4.57,5.8,6.97,12.60,59393.0,90725.0,2930.0,
Stage 4,2930,Tronadura 1,Roca 1,L4,Sureste,10 5/8,6x6,5-87,486,C,0.87,1.26,1.69,2.52,3.46,4.25,5.20,6.3,8.31,15.16,59407.0,89694.0,2930.0,
Stage 4,2930,Tronadura 2,Roca 1,L4,Noreste,10 5/8,6.5x6.5,4-24,500,B,0.91,1.06,1.46,1.85,2.48,3.19,4.37,5.9,7.83,16.22,59176.0,90463.0,2930.0,
Stage 2,3515,Tronadura 2,Roca 2,L1,Norte,12 1/4,10.5x10.5,9-94,260,F,0.71,0.94,1.26,1.73,2.24,2.87,3.43,4.1,5.08,10.00,59346.0,91578.0,3515.0,
Stage 4,2930,Tronadura 2,Roca 1,L4,Noreste,10 5/8,6.5x6.5,4-30,496,B,0.51,0.87,1.46,2.20,2.91,3.62,4.21,5.6,6.57,10.24,59203.0,90458.0,2930.0,
Stage 4,2915,Tronadura 1,Roca 1,L4,Norte,10 5/8,6.5x6.5,11-105,439,J,0.55,0.91,1.38,2.09,2.83,3.66,4.69,6.0,9.88,16.38,59104.0,90757.0,2915.0,
Stage 2,3515,Tronadura 2,Roca 2,L1,Norte,12 1/4,10.5x10.5,9-94,260,F,0.63,1.06,1.61,2.05,2.48,2.95,3.35,3.8,4.53,7.60,59318.0,91585.0,3515.0,
Stage 4,2930,Tronadura 1,Roca 1,L4,Sureste,10 5/8,6x6,5-87,486,C,0.75,1.61,2.56,3.15,3.86,4.72,5.67,6.7,7.99,9.41,59407.0,89731.0,2930.0,
Stage 4,2930,Tronadura 2,Roca 1,L4,Noreste,10 5/8,6.5x6.5,4-30,496,B,0.83,1.22,1.73,2.40,3.15,3.94,4.72,5.8,7.01,10.79,59199.0,90451.0,2930.0,
Stage 4,2930,Tronadura 1,Roca 1,L4,Sureste,10 5/8,6x6,11-105,452,B,0.91,1.34,1.69,2.28,3.11,4.21,5.31,6.8,8.23,14.25,59373.0,89883.7,2930.0,
Stage 4,2915,Tronadura 2,Roca 1,L4,Norte,12 1/4,7x7,3-11,525,B,0.79,1.22,1.77,2.60,3.27,3.98,4.72,5.7,7.52,12.01,59101.6,90705.7,2915.0,
Stage 4,2930,Tronadura 1,Roca 1,L4,Sureste,10 5/8,6x6,11-105,452,B,0.91,1.38,1.89,2.64,3.50,4.65,5.55,6.8,8.90,13.62,59386.0,89809.0,2930.0,
Stage 4,2915,Tronadura 2,Roca 1,L4,Norte,12 1/4,7x7,4-30,511,B,1.06,1.42,1.77,2.28,2.99,3.74,4.57,5.5,6.77,11.30,59103.0,90685.0,2915.0,
Stage 2,3530,Tronadura 2,Roca 2,L1,Norte,12 1/4,10.5x10.5,5-87,212,F,0.59,1.10,1.69,2.13,2.40,2.80,3.19,3.5,3.94,5.39,59114.0,91655.0,3530.0,
Stage 4,2915,Tronadura 2,Roca 1,L4,Norte,12 1/4,7x7,4-30,511,B,0.51,0.91,1.30,1.77,2.44,3.43,4.57,6.0,7.76,13.23,59108.0,90659.0,2915.0,
Stage 4,2930,Tronadura 2,Roca 1,L4,Noreste,10 5/8,6.5x6.5,4-30,496,B,0.12,0.43,0.75,1.18,1.93,3.50,5.24,6.8,8.54,15.63,59170.0,90398.0,2930.0,
Stage 2,3515,Tronadura 2,Roca 2,L8,Norte,12 1/4,10.5x10.5,17-120,197,K,0.31,0.63,0.87,1.06,1.46,2.01,3.07,4.8,7.09,12.48,59305.0,91654.0,3515.0,
Stage 4,2915,Tronadura 2,Roca 1,L4,Norte,12 1/4,7x7,4-30,511,B,0.51,0.91,1.26,1.73,2.36,3.35,4.53,5.9,8.15,13.70,59124.0,90637.0,2915.0,
Stage 4,2930,Tronadura 2,Roca 1,L4,Noreste,12 1/4,7x7,5-87,545,K,0.35,0.51,0.79,1.42,2.60,3.86,5.16,6.9,8.78,13.78,59162.0,90295.0,2930.0,
Stage 4,2915,Tronadura 2,Roca 1,L4,Norte,12 1/4,7x7,4-30,511,B,0.39,0.71,1.10,1.54,2.13,3.11,4.29,5.9,8.31,18.62,59096.0,90603.0,2915.0,
Stage 2,3515,Tronadura 2,Roca 2,L8,Norte,12 1/4,10.5x10.5,17-120,197,K,0.63,0.91,1.14,1.46,1.81,2.60,3.82,5.1,8.15,15.31,59410.0,91714.0,3515.0,
Stage 4,2915,Tronadura 1,Roca 1,L4,Norte,12 1/4,7x7,4-30,511,B,0.39,0.71,1.10,1.65,2.52,3.62,4.76,6.0,7.80,11.85,59161.0,90624.0,2915.0,
Stage 2,3515,Tronadura 2,Roca 2,L8,Norte,12 1/4,10.5x10.5,17-120,197,K,0.55,0.79,1.02,1.34,1.93,2.80,3.70,4.5,6.06,12.20,59308.0,91696.0,3515.0,
Stage 4,2915,Tronadura 1,Roca 1,L4,Norte,12 1/4,7x7,4-30,511,B,0.63,1.10,1.50,1.97,2.68,3.50,4.41,5.9,8.35,14.17,59190.0,90613.0,2915.0,
Stage 4,2915,Tronadura 2,Roca 1,L4,Norte,12 1/4,7x7,4-13,516,B,0.67,1.02,1.38,1.77,2.32,3.15,4.33,6.0,8.46,14.02,59153.0,90681.0,2915.0,
Stage 4,2915,Tronadura 2,Roca 1,L4,Norte,12 1/4,7x7,4-13,516,B,0.60,0.98,1.34,1.73,2.28,3.22,4.25,5.8,7.91,13.50,59133.0,90754.0,2915.0,
Stage 2,3515,Tronadura 2,Roca 2,L8,Norte,12 1/4,10.5x10.5,17-120,197,K,0.55,0.75,0.98,1.30,1.73,2.48,3.58,4.5,6.34,11.61,59404.0,91753.0,3515.0,
Stage 2,3515,Tronadura 2,Roca 2,L1,Norte,12 1/4,10.5x10.5,17-120,197,K,0.51,0.83,1.18,1.65,2.28,3.03,3.94,5.2,7.40,12.40,59481.0,91749.0,3515.0,
Stage 4,2915,Tronadura 2,Roca 1,L4,Norte,12 1/4,7x7,4-30,511,B,0.51,0.79,1.18,1.57,2.20,3.19,4.33,5.8,7.95,13.58,59154.0,90585.0,2915.0,
Stage 4,2930,Tronadura 1,Roca 1,L4,Norte,12 1/4,7x7,4-30,518,B,1.06,1.93,2.95,3.82,4.45,5.04,5.75,6.7,8.39,10.91,59178.0,90303.0,2930.0,
Stage 4,2930,Tronadura 1,Roca 1,L4,Sureste,12 1/4,7x7,4-30,461,B,0.91,1.38,1.81,2.44,3.27,4.17,5.28,6.1,7.72,14.25,59352.0,89972.5,2930.0,
Stage 4,2930,Tronadura 2,Roca 1,L4,Noreste,10 5/8,6.5x6.5,4-30,496,B,0.98,1.30,1.65,2.13,2.80,3.58,4.69,5.7,7.09,15.24,59201.0,90418.0,2930.0,
Stage 4,2930,Tronadura 1,Roca 1,L4,Norte,12 1/4,7x7,4-30,518,B,0.91,1.50,2.13,2.80,3.39,4.25,4.96,6.0,7.76,13.11,59195.0,90299.0,2930.0,
Stage 2,3530,Tronadura 1,Roca 2,L8,Norte,12 1/4,11x12,17-120,211,F,0.31,0.63,0.91,1.26,1.65,2.13,2.80,3.8,5.63,11.57,59204.0,91769.0,3530.0,
Stage 4,2930,Tronadura 1,Roca 1,L4,Norte,12 1/4,7x7,4-30,518,B,0.67,1.42,2.28,3.11,3.82,4.37,5.16,6.0,7.52,11.02,59220.0,90343.0,2930.0,
Stage 4,2930,Tronadura 2,Roca 1,L4,Sureste,12 1/4,7x7,4-30,461,B,0.75,1.54,2.32,3.11,3.66,4.17,4.96,5.6,6.85,11.02,59291.0,89990.0,2930.0,
Stage 4,2915,Tronadura 1,Roca 1,L4,Norte,10 5/8,6.5x6.5,4-30,451,B,0.51,1.14,1.50,1.89,2.52,3.35,4.41,6.3,7.99,14.96,59157.0,90695.0,2915.0,
Stage 4,2930,Tronadura 2,Roca 1,L4,Noreste,10 5/8,6.5x6.5,4-30,496,B,0.75,1.22,1.57,2.05,2.76,3.54,4.65,6.2,8.58,16.77,59216.0,90412.0,2930.0,
Stage 4,2930,Tronadura 1,Roca 1,L4,Sureste,10 5/8,6.5x6.5,4-30,452,B,0.67,1.18,2.20,2.95,3.54,4.21,5.16,6.1,7.52,10.16,59316.0,90031.0,2930.0,
Stage 2,3530,Tronadura 1,Roca 2,L8,Norte,12 1/4,11x12,17-120,211,F,0.47,0.75,1.02,1.57,2.20,2.72,3.39,4.3,5.47,10.16,59153.0,91756.0,3530.0,
Stage 4,2915,Tronadura 1,Roca 1,L4,Norte,12 1/4,7x7,4-30,517,B,1.06,1.50,1.89,2.40,3.11,4.02,5.04,6.1,7.44,13.74,59134.0,90772.0,2915.0,
Stage 4,2930,Tronadura 1,Roca 1,L4,Noreste,12 1/4,7x7,4-30,417,B,0.51,0.91,1.46,2.01,2.72,3.82,4.88,6.3,10.87,16.85,59125.0,90169.0,2930.0,
Stage 2,3530,Tronadura 1,Roca 2,L1,Norte,12 1/4,11x12,17-120,214,F,0.83,1.30,1.69,2.24,2.76,3.35,3.90,4.4,5.55,7.72,59106.0,91699.0,3530.0,
Stage 4,2915,Tronadura 1,Roca 1,L4,Norte,10 5/8,6.5x6.5,4-30,451,B,0.98,1.38,1.69,2.20,2.99,3.86,4.84,5.9,6.93,11.50,,,,
Stage 4,2930,Tronadura 1,Roca 1,L4,Noreste,12 1/4,7x7,4-30,417,B,0.98,1.73,2.44,2.99,3.62,4.61,5.43,6.3,8.66,12.44,,,,
Stage 4,2930,Tronadura 1,Roca 1,L4,Noreste,10 5/8,6.5x6.5,4-30,480,B,0.31,0.75,1.34,2.44,3.31,3.94,4.92,6.2,8.46,11.93,59315.3,90047.9,2930.0,
Stage 4,2915,Tronadura 2,Roca 1,L4,Norte,12 1/4,7x7,3-11,525,B,0.59,0.91,1.34,2.05,2.95,3.62,4.49,6.1,7.09,9.72,59065.2,90667.2,2915.0,
Stage 4,2930,Tronadura 1,Roca 1,L4,Noreste,10 5/8,6.5x6.5,4-30,480,B,0.20,0.63,1.38,2.36,3.43,4.25,5.08,6.5,9.45,14.65,59311.0,90060.6,2930.0,
Stage 4,2930,Tronadura 1,Roca 1,L4,Noreste,12 1/4,7x7,4-30,417,B,0.12,0.35,0.55,1.14,2.68,3.94,5.20,6.0,7.52,11.93,59169.0,90210.5,2930.0,
